Date,DIA,DLN,DOG,DRIP,DSLV,DUST,DVY,DWTI,DXD,DXJ,EDC,EDZ,EEM,EEMV,EFA
6/21/2006,1014170017,18704487,27583.9996,,,,15985727.74,,,80879.9984,,,1941267825,,196978529.7
6/22/2006,530954605.5,40144,2015500,,,,21480047.31,,,,,,959662396.6,,291566829
6/23/2006,738074658.7,666729.0133,1490937.957,,,,12658798,,,387848.9923,,,1136415130,,156135450
6/26/2006,474587528.6,55363.0022,465582.9866,,,,12471100.2,,,5032,,,581332566.4,,128240564.1
6/27/2006,711807061,14207028.28,1180200,,,,23150279.63,,,,,,1529435134,,253814294.2
6/28/2006,437511898,45207,1470840.021,,,,12246119.61,,,,,,1468161277,,308454151
6/29/2006,912768764.5,133224.0052,4376679.872,,,,26554575.84,,,,,,3409161400,,499920253.5
6/30/2006,436484058.9,318184,472236.0138,,,,21944880.35,,,5304.9999,,,1523687098,,386271802.1
7/3/2006,118056836.8,139319.9946,813960.0238,,,,10737824.66,,,26510,,,909112867.3,,602389185.5
7/5/2006,385619321.5,282644.9945,1803869.948,,,,29442714.47,,,57167.0011,,,1314173700,,411930499.2
7/6/2006,1055259159,273639.0053,1958813.943,,,,13434300,,,5204.9999,,,1265889920,,285759197.5
7/7/2006,796892520.8,298294,4118590.06,,,,14104750,,,,,,1378624696,,202674531.1
7/10/2006,486336833.8,159991.0031,1583535.046,,,,33675144.47,,,26365,,,1359492229,,258820507.9
7/11/2006,583668072.2,46566.0018,4014709.884,,,,13132877.79,,,,,,1826034475,,275396660.4
7/12/2006,535122575.7,445961.9826,7219388,,,,23211300,,,,,,1258889430,,203011373.7
7/13/2006,1746185928,400372,9932900,,,,19069440.61,,1851877.975,65169.0013,,,2609719359,,264506162.2
7/14/2006,880721580,45261.0009,9652500,,,,21384480.69,,1929556.051,63869.0013,,,2354165965,,222877544
7/17/2006,896211431,4797127.905,5149478.216,,,,34058474.46,,1525545.041,,,,1285670189,,179201457.1
7/18/2006,1220437318,3191556,10238724.71,,,,18422995,,2909040.078,38311.9992,,,2551514692,,225809663.7
7/19/2006,1265823144,622908,8572667.754,,,,24555472.38,,4113550.058,29633.9994,,,4287207686,,328282499.2
7/20/2006,849613458.5,343308.0134,3015259.872,,,,22288630.35,,1518385.042,24690.0005,,,2435094224,,166286162.6
7/21/2006,994355301.7,158286.0031,5374720.076,,,,21824424,,2261055.061,,,,1558383311,,229002675.6
7/24/2006,1063905050,248736,5467615.843,,,,22413635.04,,2024354.972,,,,2777377923,,193692500.9
7/25/2006,899703440.1,218778,5150476,,,,24089753.26,,1294072.037,20039.9992,,,2267066899,,288473600
7/26/2006,688329666.8,62796.0024,4511000.13,,,,20067925.93,,1133761.968,9930.0004,,,1980855247,,196308245.9
7/27/2006,1016495931,255143,6678203.808,,,,45755858.59,,2129787.03,137969.9946,,,2534921871,,271734461.6
7/28/2006,1267063420,685360.013,5454253.921,,,,17018465.52,,1067528,196536.0038,,,1897557316,,200381586.1
7/31/2006,437170927.8,141939,3904929.17,,,,19857720.61,,784784.9661,10409.9998,,,1158533393,,229104953
8/1/2006,604925585.4,1466080.028,5558940.16,,,,13059059.6,,1384910.059,,,,1220234077,,247366790.2
8/2/2006,440047817.8,6832671.87,2441183.965,,,,18305430.56,,1125900,10490.0002,,,1127125226,,214899696
