Date,DIA,DLN,DOG,DRIP,DSLV,DUST,DVY,DWTI,DXD,DXJ,EDC,EDZ,EEM,EEMV,EFA
6/21/2006,110.709999,50.43,68.959999,,,,62.639999,,,50.549999,,,89.25,,62.759998
6/22/2006,110.199997,50.18,69.5,,,,61.919998,,,50.549999,,,87.650007,,62.43
6/23/2006,109.970001,50.130001,69.669998,,,,61.66,,,50.369999,,,87.50001,,62.25
6/26/2006,110.400002,50.330002,69.489998,,,,62.200001,,,50.32,,,87.50001,,62.740002
6/27/2006,109.260002,50.060001,70.25,,,,61.799999,,,50.32,,,85.850012,,61.580002
6/28/2006,109.82,50.23,70.040001,,,,62.099998,,,50.32,,,88.539991,,62.279999
6/29/2006,111.800003,51.240002,68.599998,,,,63.150002,,,50.32,,,93.800011,,64.580002
6/30/2006,111.790001,51.32,68.440002,,,,63.060001,,,53.049999,,,93.899998,,65.389999
7/3/2006,112.199997,51.599998,68.400002,,,,63.349998,,,53.02,,,95.97999,,65.730003
7/5/2006,111.470001,51.389999,68.849998,,,,63.060001,,,51.970001,,,93,,64.480003
7/6/2006,112.190002,51.630001,68.489998,,,,63.25,,,52.049999,,,94.899988,,65.160004
7/7/2006,110.959999,51.43,69.220001,,,,63.25,,,52.049999,,,93.099993,,64.860001
7/10/2006,111.150002,51.610001,69.150002,,,,63.549999,,,52.73,,,93.849993,,65.400002
7/11/2006,111.470001,51.740002,69.099998,,,,63.689999,,,52.73,,,94.299992,,65.580002
7/12/2006,110.330002,51.259998,69.82,,,,63.16,,,52.73,,,92.199989,,64.349998
7/13/2006,108.300003,50.68,71,,,,62.400002,,73.779999,50.130001,,,88.550011,,63.220001
7/14/2006,107.32,50.290001,71.5,,,,62.400002,,75.080002,49.130001,,,89.00001,,62.68
7/17/2006,107.519997,50.389999,71.620003,,,,62.549999,,75.150002,49.130001,,,87.600002,,61.799999
7/18/2006,108.190002,50.34,71.349998,,,,62.77,,74.400002,47.889999,,,88.820011,,61.700001
7/19/2006,110.040001,51.48,69.809998,,,,63.880001,,71.540001,49.389999,,,94.299992,,63.220001
7/20/2006,109.419998,51.240002,70.449997,,,,63.700001,,72.650002,49.380001,,,91.590002,,62.880001
7/21/2006,108.559998,51.060001,70.720001,,,,63.48,,73.650002,49.380001,,,89.810011,,62.880001
7/24/2006,110.5,51.82,69.739998,,,,64.370003,,71.029999,49.380001,,,93.849993,,64.019997
7/25/2006,110.790001,52.09,69.32,,,,64.739998,,70.330002,50.099998,,,94.100012,,64
7/26/2006,110.910004,52.330002,69.400002,,,,65.050003,,70.419998,49.650002,,,93.699989,,64.449997
7/27/2006,111.269997,52.07,69.419998,,,,64.809998,,70.290001,51.099998,,,94.98999,,64.849998
7/28/2006,112.07,52.720001,68.779999,,,,65.330002,,69.32,51.720001,,,97.029991,,66.150002
7/31/2006,111.900002,52.57,68.870003,,,,65.150002,,69.449997,52.049999,,,96.099987,,65.919998
8/1/2006,111.220001,52.360001,69.400002,,,,65.099998,,70.300003,52.049999,,,94.550011,,65.459999
8/2/2006,111.980003,52.639999,68.959999,,,,65.260002,,69.5,52.450001,,,95.799992,,66.18
8/3/2006,112.589996,52.830002,68.610001,,,,65.5,,68.900002,52.450001,,,95.699999,,66.07
8/4/2006,112.480003,52.799999,68.709999,,,,65.690002,,69,52.52,,,95.900007,,66.120003
8/7/2006,112.339996,52.689999,68.870003,,,,65.410004,,69.199997,51.07,,,95.300011,,65.709999
8/8/2006,111.839996,52.57,69.07,,,,65.349998,,69.940002,51.07,,,95.300011,,65.480003
8/9/2006,110.949997,52.330002,69.730003,,,,64.839996,,71.050003,52.299999,,,95.660007,,65.800003
8/10/2006,111.300003,52.439999,69.43,,,,65.029999,,70.480003,52.400002,,,96.639988,,65.949997
8/11/2006,111.050003,52.299999,69.629997,,,,64.790001,,70.790001,52.150002,,,95.46999,,65.379997
8/14/2006,111.150002,52.310001,69.699997,,,,64.879997,,70.800003,52.849998,,,95.850002,,65.599998
8/15/2006,112.260002,52.959999,68.889999,,,,65.480003,,69.370003,53.700001,,,98.199989,,67.019997
8/16/2006,113.379997,53.209999,68.199997,,,,65.800003,,67.989998,54.509998,,,99.159988,,67.629997
8/17/2006,113.459999,53.240002,68.18,,,,65.68,,67.779999,54.209999,,,99.299995,,67.379997
8/18/2006,113.800003,53.43,67.93,,,,65.980003,,67.389999,54.43,,,98.360012,,67.660004
8/21/2006,113.5,53.389999,68.18,,,,65.879997,,67.730003,54.18,,,97.850006,,67.449997
8/22/2006,113.279999,53.470001,68.239998,,,,65.910004,,67.889999,54.580002,,,97.820011,,67.260002
8/23/2006,113.110001,53.27,68.550003,,,,65.599998,,68.449997,53.389999,,,96.050011,,67.019997
8/24/2006,112.800003,53.43,68.419998,,,,65.620003,,68.470001,52.82,,,95.790001,,66.830002
