Ticker,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
VOO, 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.0830 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1240 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 , 0.1660 
IJH, 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0290 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0430 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 , 0.0580 
SLY, 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0144 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0216 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 
VTI, 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 
IWV, 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0270 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0405 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 , 0.0540 
VGK, 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0470 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0700 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 , 0.0940 
EWU, 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0180 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 , 0.0240 
EWJ, 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0126 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0189 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 , 0.0252 
DXJ, 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0060 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0090 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 , 0.0120 
EEM, 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0192 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0288 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 , 0.0384 
