as_of_date,pred_date,eq,eq_pk,pk_eq,eq_pit,pit_eq
31/03/1993,31/03/1994,0.082380986,0.23991326,2.20E-16,0.072761958,0.712514322
30/04/1993,30/04/1994,0.079020717,0.246129506,9.32E-15,0.08995013,0.63076333
31/05/1993,31/05/1994,0.077936702,0.30833108,2.22E-07,0.015946045,0.53693033
30/06/1993,30/06/1994,0.079864629,0.488184719,1.93E-13,0.014621034,0.457590851
31/07/1993,31/07/1994,0.078740329,0.467201204,1.69E-14,0.00587922,0.603808266
31/08/1993,31/08/1994,0.079211596,0.351791088,2.20E-16,0.024512617,0.687753198
30/09/1993,30/09/1994,0.080516256,0.398306547,2.20E-16,0.044140073,0.504150741
31/10/1993,31/10/1994,0.084867407,0.412013007,2.20E-16,0.027666671,0.431842715
30/11/1993,30/11/1994,0.083741051,0.457665718,5.13E-12,0.040890525,0.274339558
31/12/1993,31/12/1994,0.084287243,0.47608494,5.12E-11,0.038943638,0.276078907
31/01/1994,31/01/1995,0.079679854,0.473399654,5.05E-13,0.072364461,0.271917108
28/02/1994,28/02/1995,0.079529736,0.434860165,5.38E-11,0.029138516,0.369442076
31/03/1994,31/03/1995,0.078574109,0.49834211,6.84E-05,0.018877556,0.439867806
30/04/1994,30/04/1995,0.078763616,0.581034269,0.079604601,0.002328919,0.394995263
31/05/1994,31/05/1995,0.080664268,0.72080378,0.182028471,0.001093647,0.325950676
30/06/1994,30/06/1995,0.0809874,0.640054439,0.166743051,0.00145083,0.426289992
31/07/1994,31/07/1995,0.082350912,0.598103955,0.039924147,0.011515331,0.440257101
31/08/1994,31/08/1995,0.082513644,0.548960174,0.000171704,0.017254756,0.534968158
30/09/1994,30/09/1995,0.081202838,0.581774633,9.69E-05,0.010118971,0.601347619
31/10/1994,31/10/1995,0.084652708,0.524934752,0.003718516,0.00230857,0.493653512
30/11/1994,30/11/1995,0.08441248,0.594176642,0.041446638,0.000217227,0.595329412
31/12/1994,31/12/1995,0.086545634,0.625813461,0.401915739,6.13E-05,0.293915259
31/01/1995,31/01/1996,0.083064827,0.653132063,0.033952743,0.000686391,0.375455465
