,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
VOO,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0449375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.0679375,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
IVE,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
VYM,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0179375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036
VUG,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0069375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
IJH,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0129375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.0189375,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
VOE,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0109375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.0159375,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
VOT,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0049375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.0079375,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
SLY,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0139375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
VTI,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
IWV,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0269375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.0409375,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
